"partialQEP";"impliedPartialQEPs"
"83";"68"
"3349";"4202, 90, 13"
"1178";"1127, 789, 1109, 1067, 1047, 1121, 1111, 1066, 1166, 744, 1140, 1108, 1056, 1129, 1037"
"1492";"134, 13"
"837";"94"
"496";"411, 237"
"1151";"1160"
"810";"782, 556"
"155";"154"
"469";"477, 440"
"3017";"884, 140"
"2676";"189, 87"
"4246";"207, 199"
"3905";"167, 18"
"505";""
"164";"162, 161"
"819";"846"
"3430";"281, 3507, 2328, 13"
"478";"469, 477, 440"
"2371";"2216, 281, 13"
"2030";"216, 217"
"1689";"167, 18"
"2003";"2691, 281, 13"
"577";"553"
"2784";"2563, 90, 13"
"3439";"167, 18"
"2443";"281, 13"
"3098";"134, 13"
"2039";"573, 562, 94"
"2757";"209, 210"
"1698";"3380, 90, 13"
"1357";"209, 210"
"245";"248, 231"
"2793";"893, 878, 21, 729, 879, 768, 235"
"2452";"167, 18"
"2111";"207, 199"
"2766";"620, 448"
"1770";"1437, 90, 13"
"2425";"620, 448"
"1052";"1078, 524"
"2084";"134, 13"
"1366";"172, 175"
"3977";"140"
"1806";"281, 13"
"2120";"207, 199"
"1465";"172, 175"
"4327";"281, 13"
"1779";"2157, 281, 13"
"1124";""
"1438";"207, 199"
"3986";"90, 13"
"783";"782, 810, 33, 794, 804, 556"
"3645";"207, 199"
"1097";"1115"
"3304";"90, 13"
"4399";"3339, 2228, 4508, 13, 281"
"1851";"172, 175"
"1788";"209, 210"
"1133";"1161, 153, 140, 1095"
"4058";"90, 13"
"1447";"3763, 2112, 281, 13"
"792";"807, 785, 777, 803"
"451";"453, 452"
"1106";"1167, 572"
"2999";"4248, 306"
"110";"103, 79"
"2658";"1822, 281, 13, 1229"
"3313";"167, 18"
"2317";"209, 210"
"2972";"573, 562, 94"
"4067";"2642, 90, 13"
"1519";"13, 281, 4601, 4324, 3019"
"801";"782, 810, 33, 783, 794, 804, 556"
"3412";"209, 210"
"460";""
"3726";"281, 13"
"3008";"207, 199"
"3071";"90, 13"
"119";"85"
"2667";"90, 13"
"2326";"2915, 281, 13"
"3762";"207, 199"
"1214";"209, 210"
"4076";"189, 87"
"873";"284"
"3421";"167, 18"
"3735";"167, 18"
"532";"535"
"3080";"3625, 281, 13"
"128";"131"
"3394";"189, 87"
"2739";"172, 175"
"1680";"3315, 90, 13"
"2335";"512, 505"
"3053";"3538, 90, 13"
"1994";"806, 18"
"882";"572"
"2434";"4261, 90, 13"
"541";"543"
"3089";"172, 175"
"2748";"172, 175"
"2093";"1164, 726, 313"
"2407";"207, 199"
"4614";"90, 13"
"2066";"281, 13"
"4273";"1691, 515, 18"
"2102";"134, 13"
"1761";"281, 3165, 13, 1504"
"2416";"90, 13"
"2075";"3340, 90, 13"
"1420";"172, 175"
"1079";"524"
"4282";"167, 18"
"1734";"167, 18"
"3941";"3031, 90, 13"
"3286";"2357, 134, 13"
"3600";"207, 199"
"2488";"189, 87"
"4695";"2465, 90, 13"
"2147";"189, 87"
"1429";"172, 175"
"4040";"207, 199"
"4354";"167, 18"
"3636";"1308, 90, 13"
"1088";"1069, 1147, 1096, 1091"
"747";"39"
"3295";"3297, 1019, 140"
"406";"407"
"2954";"90, 13"
"3268";"134, 13"
"4390";"167, 18"
"1842";"167, 18"
"4704";"134, 13"
"4049";"3054, 2083, 13, 281, 4446"
"4363";"167, 18"
"3708";"167, 18"
"4022";"167, 18"
"756";""
"3367";"216, 217"
"3681";"209, 210"
"415";"416, 413, 81, 99, 418"
"2963";"2556, 90, 13"
"1510";"134, 13"
"1169";""
"3717";"207, 199"
"4031";"172, 175"
"3376";"209, 210"
"3690";"172, 175"
"3035";"90, 13"
"2631";"207, 199"
"2694";"189, 87"
"3385";"2768, 2257, 1076"
"2730";"90, 13"
"2389";"189, 87"
"3044";"4546, 134, 13"
"2048";"90, 13"
"2703";"3505, 13, 1434, 281, 3908"
"2362";"1418, 281, 13"
"4569";"172, 175"
"3914";"281, 4347, 13, 1261"
"487";""
"2398";"3802, 90, 13"
"3116";"207, 199"
"2712";"529, 531, 94"
"4668";"134, 13"
"4605";"659"
"2057";"216, 217"
"4264";"2098, 134, 13"
"1716";"2409, 281, 13"
"4578";"90, 13"
"3923";"1526, 281, 13"
"1375";"3994, 90, 13"
"4237";"207, 199"
"3125";"172, 175"
"4677";"4595, 90, 13"
"4336";"134, 13"
"1725";"510, 435"
"4650";"3304, 90, 13"
"3932";"2287, 90, 13"
"1384";"605, 448"
"3591";"209, 210"
"1043";"1032"
"2479";"134, 13"
"2138";"281, 13"
"4686";"3934, 13, 3856, 281, 3825"
"4345";"172, 175"
"1797";"4015, 90, 13"
"4659";"216, 217"
"4004";"134, 13"
"4318";"209, 210"
"3663";"216, 217"
"236";"150"
"3699";"834, 825, 94"
"4013";"207, 199"
"3358";"167, 18"
"741";"734"
"678";"683, 33, 689, 694, 556, 688, 684"
"3289";"4333, 134, 13"
"23";"22, 21"
"2634";"281, 1553, 13, 2738"
"2948";"3835, 13, 281, 1699, 1626"
"1432";"189, 87"
"777";"807, 785"
"436";"434, 421"
"3702";"2620, 90, 13"
"2984";"172, 175"
"95";""
"3298";"3209, 90, 13"
"2643";"1946, 281, 13"
"2302";"90, 13"
"2957";"3131, 90, 13"
"1961";"2123, 134, 13"
"2616";"2964, 13, 281, 4003, 2066"
"445";"250, 18"
"3056";"53"
"104";""
"2652";"90, 13"
"2715";""
"3370";"167, 18"
"2311";"207, 199"
"1656";"1251, 18, 1558, 515"
"1970";"172, 175"
"1315";"90, 13"
"4177";"573, 562, 94"
"1629";"2646, 134, 13"
"517";""
"3065";"4174, 134, 13"
"2724";"4069, 90, 13"
"3379";"209, 210"
"1665";"172, 175"
"2383";"172, 175"
"3038";"4357, 134, 13"
"1979";"134, 13"
"4590";"1956, 1783, 4128, 21, 729, 3731, 3454, 4081, 2161, 140, 3823, 1289, 235, 1642, 3869"
"1324";"134, 13"
"983";"235"
"1638";"134, 13"
"1297";"207, 199"
"2419";"167, 18"
"2078";"134, 13"
"2733";"134, 13"
"2392";"134, 13"
"2051";"2502, 281, 13"
"4599";"1718, 257"
"4258";"216, 217"
"992";"974, 967"
"1710";"995, 922, 773"
"1306";"4290, 90, 13"
"3917";"1271, 90, 13"
"1746";"209, 210"
"2060";"207, 199"
"1405";"189, 87"
"3953";"281, 13"
"4267";"134, 13"
"1064";"1080, 94"
"3612";"189, 87"
"3926";"207, 199"
"3271";"90, 13"
"3585";"1470, 2157, 13, 1779, 281"
"2930";"3502, 1183, 21, 729, 140, 1022, 768, 1081, 1049, 235, 3892, 3464, 1019"
"3244";"834, 825, 94"
"4339";"930, 936"
"1073";"1048"
"3684";"18, 3129, 806, 1302"
"3998";"216, 217"
"732";"94"
"3280";"456, 457, 81"
"391";"387, 393"
"2939";"134, 13"
"2598";"524"
"3253";"189, 87"
"2257";"1076"
"2912";"3647, 515, 18"
"3693";"573, 562, 94"
"4007";"209, 210"
"3352";"167, 18"
"3666";"216, 217"
"2293";"743, 740, 94"
"3011";"1060, 258"
"1952";"456, 457, 81"
"2607";"1412, 281, 2121, 13"
"2266";"172, 175"
"4016";"209, 210"
"3361";"167, 18"
"3020";"172, 175"
"2679";"90, 13"
"2275";"90, 13"
"1620";"1092, 1157, 94"
"2338";"4295, 281, 13"
"4545";"134, 13"
"1934";"167, 18"
"2374";"3878, 134, 13"
"3029";"207, 199"
"2688";"167, 18"
"4240";"167, 18"
"2347";"216, 217"
"4554";"189, 87"
"3899";"216, 217"
"4213";"207, 199"
"3558";"1400, 90, 13"
"472";"476, 473"
"131";""
"2042";"134, 13"
"4653";"281, 13, 3603, 1228"
"4249";"281, 13"
"1701";"209, 210"
"4563";"134, 13"
"3908";"1434, 281, 13"
"1360";"3627, 90, 13"
"4222";"207, 199"
"3567";"4036"
"3881";"3136, 281, 13"
"3226";"736, 745, 94"
"3540";"3618, 13, 281, 2294, 2683"
"4321";"4026, 90, 13"
"4635";"134, 13"
"1369";"209, 210"
"3980";"1548, 90, 13"
"3262";"167, 18"
"4294";"4335, 134, 13"
"3576";"189, 87"
"2921";"209, 210"
"2580";"3093, 134, 13"
"3235";"3273, 90, 13"
"2894";"884, 140"
"4330";"189, 87"
"4644";"510, 435"
"3989";"3026, 90, 13"
"3648";"207, 199"
"2589";"90, 13"
"3307";"456, 457, 81"
"2903";"167, 18"
"3343";"172, 175"
"3657";"4682, 90, 13"
"3316";"2456, 134, 13"
"2975";"4679, 90, 13"
"1782";"2261, 1294, 281, 13"
"4527";"134, 13"
"1441";"995, 922, 773"
"1100";"505"
"2670";"90, 13"
"2329";"167, 18"
"4536";"90, 13"
"4195";"4625, 90, 13"
"4509";"281, 2043, 2617, 13"
"3854";"134, 13"
"4168";"841, 829, 94"
"427";""
"4608";"743, 740, 94"
"3890";"167, 18"
"1997";"172, 175"
"4204";"134, 13"
"463";""
"4518";"653, 673, 94"
"3863";"1222, 789, 1067, 1751, 1772, 3409, 3079, 1066, 4200, 744, 2668"
"122";"120"
"4617";"515, 18"
"4276";"90, 13"
"3935";"167, 18"
"3872";"209, 210"
"3217";"209, 210"
"194";""
"3531";"90, 13"
"508";""
"4626";"1957, 1456, 18, 817"
"4285";"90, 13"
"3944";"13, 281, 4441, 2920, 2265"
"3603";"1228, 281, 13"
"2069";"573, 562, 94"
"176";"53"
"1728";"189, 87"
"3639";"2234, 134, 13"
"1737";"2835, 90, 13"
"1396";"134, 13"
"2966";"90, 13"
"2625";"167, 18"
"4491";"209, 210"
"1091";"1096, 1147, 1069"
"750";""
"409";"405, 406, 407"
"723";"713, 722"
"4186";"2432, 281, 13"
"4500";"742, 732, 94"
"3845";"1444, 281, 13"
"759";"750"
"418";"416, 99, 81"
"77";""
"2284";"134, 13"
"1943";"134, 13"
"4572";"717, 718, 94"
"4231";"134, 13"
"831";""
"490";""
"1145";"160"
"804";"33"
"2697";"216, 217"
"86";""
"4581";"841, 829, 94"
"185";""
"499";"504, 411, 237, 502"
"3047";"1283, 90, 13"
"158";""
"2706";"90, 13"
"2365";"167, 18"
"2024";"13, 4347, 281, 3914, 1261"
"3594";"3502, 1183, 21, 729, 1584, 140, 1022, 768, 1081, 1049, 235, 2930, 3892, 3464, 1019"
"167";"18"
"1719";"4326, 2566, 13, 281, 4170"
"2033";"90, 13"
"1378";"134, 13"
"1037";""
"1692";"90, 13"
"1351";"90, 13"
"1791";"512, 505"
"2105";"167, 18"
"1387";"893, 878, 1858, 21, 729, 879, 884, 4223, 140, 768, 3063, 235"
"4312";"4512, 90, 13"
"1046";"524"
"705";"702, 697, 306, 707, 703, 696"
"50";""
"1019";"140"
"364";"85, 366, 356, 371, 86, 374, 359, 363, 358, 369"
"2571";"134, 13"
"4482";"167, 18"
"1459";"728, 738, 94"
"1773";"4617, 515, 18"
"1118";"1147, 1091, 1096, 1090, 1088, 1069"
"400";"228, 52"
"1055";"1041, 602, 1074, 601, 1029, 1045"
"714";"727, 306"
"59";"58, 55, 57"
"3325";"172, 175"
"373";"365, 372, 357, 361, 360, 367, 370"
"32";"31, 27, 30, 19"
"1154";"552"
"813";"53"
"1468";"3725, 90, 13"
"3675";"2917, 281, 13"
"1127";"789"
"68";""
"786";"140"
"3334";"90, 13"
"382";"378, 99, 81"
"2993";"1590, 281, 13"
"41";"40"
"822";""
"1136";"18"
"481";"392"
"140";""
"795";"18"
"454";"451, 453, 452"
"3002";"216, 217"
"113";"101, 115, 110, 78, 106, 102, 109, 105, 103, 108, 80, 112, 104, 114, 107, 79, 111, 100"
"2661";"189, 87"
"2006";"1930, 134, 13"
"2320";"995, 922, 773"
"149";"145"
"2356";"172, 175"
"2015";"3587, 134, 13"
"1674";"2983, 134, 13"
"1988";"189, 87"
"1333";"3863, 1222, 789, 1796, 1067, 1047, 1751, 1772, 3409, 3079, 2489, 1066, 4200, 744, 1056, 2668, 1037"
"1647";"189, 87"
"2428";"172, 175"
"2087";"90, 13"
"2742";"209, 210"
"1028";""
"1683";"207, 199"
"2401";"167, 18"
"1342";"209, 210"
"687";"493"
"1001";"962, 913, 966, 1002, 508, 927, 918"
"346";"333, 344, 78, 334, 329, 339, 345, 80, 341, 79, 337"
"3549";"134, 13"
"660";"450, 18"
"3208";"1301, 134, 13"
"2096";"207, 199"
"2410";"209, 210"
"4303";"2142, 90, 13"
"1755";"90, 13"
"3962";"90, 13"
"1414";"2813, 90, 13"
"696";"306"
"1010";"1000, 758, 440"
"3621";"172, 175"
"355";"351, 353"
"669";"228, 52"
"1450";"167, 18"
"1109";"1067, 1066, 744, 1140, 1129"
"1764";"134, 13"
"3971";"3259, 281, 13"
"1423";"209, 210"
"768";"729, 21"
"1082";"1073, 1048"
"3630";"90, 13"
"1076";""
"4476";"3502, 1183, 21, 729, 1584, 3594, 140, 1022, 768, 1081, 1049, 235, 2930, 3892, 3464, 1019"
"4135";"209, 210"
"735";"730"
"394";"389, 390"
"3794";"216, 217"
"53";""
"708";"710"
"367";"357"
"4144";"1900, 90, 13"
"403";"402, 52"
"3803";"18, 1994, 4057, 806"
"62";"61"
"2269";"90, 13"
"1928";"167, 18"
"1587";"134, 13"
"4557";"658, 663, 94"
"3157";"134, 13"
"134";"13"
"2682";"536, 13"
"2341";"4053, 1393, 2859"
"941";"766"
"1255";"189, 87"
"600";"598"
"2350";"90, 13"
"2009";"134, 13"
"1354";"90, 13"
"1668";"209, 210"
"950";"942"
"609";"33"
"1704";"1336, 134, 13"
"2018";"2702, 134, 13"
"1363";"4599, 1718, 257"
"1677";"172, 175"
"4422";"456, 457, 81"
"1022";"1049, 235"
"681";"439"
"1336";"134, 13"
"995";"922, 773"
"4431";"3416, 281, 13"
"1031";"1025, 524"
"376";"232, 234, 385, 233"
"35";""
"690";"493"
"3956";"281, 3845, 13, 1444"
"1004";"161"
"349";"350, 158"
"2897";"134, 13"
"8";"7"
"2556";"90, 13"
"2215";"13, 281, 2079, 2394, 3817"
"4126";"134, 13"
"44";"41, 40"
"699";""
"762";"542, 52"
"3310";"90, 13"
"358";"366, 369"
"2969";"172, 175"
"17";"16, 15"
"2224";"3793, 134, 13"
"1883";"4579, 134, 13"
"771";"571, 508"
"3319";"2119, 281, 13"
"430";"432, 33"
"2978";"2139, 90, 13"
"1982";"515, 18"
"1919";"216, 217"
"2637";"657, 664, 94"
"26";""
"1578";"510, 435"
"1237";"134, 13"
"125";"86"
"2673";"167, 18"
"2987";"216, 217"
"2332";"134, 13"
"1991";"134, 13"
"2646";"134, 13"
"2305";"207, 199"
"1650";"281, 13"
"1964";"134, 13"
"1246";"207, 199"
"2000";"4502, 134, 13"
"1659";"529, 531, 94"
"1973";"216, 217"
"1318";"90, 13"
"3525";"1483, 795, 18"
"1632";"742, 732, 94"
"977";"313"
"3184";"743, 740, 94"
"1013";"929"
"4279";"817, 18"
"1731";"1958, 515, 18"
"4593";"1650, 281, 13"
"672";"542, 52"
"3938";"90, 13"
"1327";"281, 13"
"4252";""
"986";"575"
"3534";"653, 673, 94"
"331";"348, 335, 330, 336, 158"
"645";"632"
"3193";"1533, 90, 13"
"304";"301, 302, 160, 297, 159, 303, 299, 300"
"2852";"209, 210"
"2511";"456, 457, 81"
"3947";"172, 175"
"1399";"2156, 90, 13"
"3606";"167, 18"
"1058";""
"340";"158"
"654";"666, 602, 661, 662, 601, 652"
"3265";"90, 13"
"2547";"4450, 3530, 21, 729, 2016, 4328, 140, 1022, 768, 1081, 1049, 235, 4146, 2159, 1019"
"3579";"620, 448"
"2206";"216, 217"
"2520";"216, 217"
"1094";""
"1408";"736, 745, 94"
"1067";""
"3615";"1549, 281, 13"
"2960";"281, 13"
"2619";"207, 199"
"3274";"620, 448"
"2278";"2314, 515, 18"
"2933";"216, 217"
"2592";"216, 217"
"1874";"90, 13"
"421";""
"80";""
"2628";"167, 18"
"3283";"216, 217"
"2287";"90, 13"
"2942";"134, 13"
"1946";"281, 13"
"2601";"216, 217"
"4153";"134, 13"
"2260";"4103, 134, 13"
"1605";"2732, 134, 13"
"3812";"4087, 134, 13"
"89";""
"2296";"209, 210"
"1641";"90, 13"
"2359";"2803, 18, 4556, 515"
"1955";"134, 13"
"4566";"209, 210"
"4503";"167, 18"
"1300";"216, 217"
"4162";"167, 18"
"1614";"134, 13"
"3821";"3433, 134, 13"
"1273";"2822, 134, 13"
"3480";"283, 160"
"2368";"4157, 134, 13"
"4575";"13, 281, 2856, 4437, 4506"
"2027";"207, 199"
"1309";"167, 18"
"4234";"167, 18"
"1623";"4163, 134, 13"
"968";"919, 961"
"4548";"2164, 90, 13"
"1282";"281, 13"
"3830";"90, 13"
"3175";"207, 199"
"627";""
"286";"288, 280, 160, 285, 159, 283"
"2834";"90, 13"
"3489";"172, 175"
"3148";"134, 13"
"4584";"167, 18"
"2036";"821, 832"
"4243";"2035, 134, 13"
"3588";"3314, 90, 13"
"1695";"209, 210"
"3902";"4253, 720"
"636";"642"
"3247";"189, 87"
"3561";"90, 13"
"295";"116"
"2843";"216, 217"
"1390";"3249, 134, 13"
"3597";"2785, 90, 13"
"1049";"235"
"3911";"1727, 720"
"3256";"3440, 90, 13"
"3570";"134, 13"
"2915";"281, 13"
"3229";"3749, 90, 13"
"2574";"1327, 281, 13"
"2888";"90, 13"
"717";"718, 94"
"2610";"13, 4259, 281, 4207, 2443"
"3642";"167, 18"
"2924";"18, 1483, 3525, 795"
"3238";"510, 435"
"2583";"90, 13"
"2242";"3536, 134, 13"
"4449";"3059, 134, 13"
"1901";"134, 13"
"4108";"172, 175"
"2996";"3953, 281, 13"
"2655";"134, 13"
"1937";"817, 18"
"2251";"1974, 134, 13"
"1596";"134, 13"
"4458";"90, 13"
"1910";"1549, 3615, 4693, 13, 281"
"4117";"90, 13"
"1569";"281, 13, 2355, 3967"
"3005";"134, 13"
"2664";"167, 18"
"4216";"172, 175"
"2323";"189, 87"
"4530";"134, 13"
"3875";"4532, 3880, 13, 281, 3710"
"1264";"134, 13"
"4189";"3389, 281, 13"
"923";"989, 758, 440"
"3471";"4384, 536, 13"
"448";""
"3785";"18, 4279, 2344, 817"
"4225";"90, 13"
"4539";"1985, 90, 13"
"3884";"4378, 536, 13"
"4198";"1650, 13, 281, 2333, 4593"
"3543";"216, 217"
"932";"963"
"457";"81"
"3857";"90, 13"
"3202";"216, 217"
"116";""
"1686";"2711, 90, 13"
"1345";"167, 18"
"3893";"189, 87"
"4207";"281, 2443, 13, 4259"
"3552";"172, 175"
"3866";"167, 18"
"3211";"172, 175"
"2870";"90, 13"
"3624";"90, 13"
"2906";"13, 281, 4398, 3496, 3960"
"2565";"2857, 134, 13"
"3220";"90, 13"
"2879";"620, 448"
"2538";"189, 87"
"2197";"1275"
"663";"94"
"3633";"134, 13"
"3292";"2890, 134, 13"
"2233";"189, 87"
"2951";"4658, 18, 4104, 515"
"4440";"134, 13"
"1892";"558, 557, 94"
"3301";"2844, 134, 13"
"4512";"90, 13"
"4171";"90, 13"
"1560";"167, 18"
"1085";"1050, 33"
"4485";"134, 13"
"744";""
"2314";"515, 18"
"4521";"90, 13"
"4180";"90, 13"
"439";""
"4494";"134, 13"
"3839";"216, 217"
"98";"97"
"3498";"207, 199"
"753";"733"
"412";"305"
"71";"70, 69"
"3848";"172, 175"
"3507";"2328, 281, 13"
"107";"101, 115, 78, 109, 104, 111"
"3166";"90, 13"
"1291";"172, 175"
"4261";"90, 13"
"3920";"172, 175"
"3516";"3959, 134, 13"
"2861";"209, 210"
"2045";"281, 13, 2635, 4379"
"959";"972, 997"
"618";""
"4270";"134, 13"
"3929";"3281, 2061, 281, 13"
"2529";"1039, 305"
"1713";"90, 13"
"1372";"281, 13"
"313";""
"1722";"189, 87"
"4467";"1859, 90, 13"
"726";"313"
"1381";"281, 2306, 13, 3541"
"1040";"1063, 1043, 1032"
"385";"234, 232, 233"
"322";"325, 324, 227"
"2568";"1454, 90, 13"
"2227";"172, 175"
"1886";"3285, 90, 13"
"4434";"189, 87"
"4093";"736, 745, 94"
"1545";"209, 210"
"3438";"2207, 134, 13"
"3752";"167, 18"
"11";"12"
"1581";"1484, 134, 13"
"4506";"281, 13, 4437, 2856"
"3788";"1293, 90, 13"
"4102";"189, 87"
"3447";"1232, 90, 13"
"3761";"172, 175"
"3106";"3090, 134, 13"
"3420";"209, 210"
"4201";"90, 13"
"4515";"1277, 90, 13"
"3860";"2537, 134, 13"
"908";"873, 284"
"4174";"134, 13"
"3833";"3425, 536, 13"
"3115";"140"
"567";""
"2774";"3512, 134, 13"
"3429";"281, 1418, 13, 2362"
"3088";"172, 175"
"3869";"1956, 4128, 140"
"4183";"90, 13"
"3528";"189, 87"
"3842";"1839, 90, 13"
"3187";"573, 562, 94"
"2846";"90, 13"
"3196";"1546, 90, 13"
"2855";"1016, 2028, 4419, 1028"
"2514";"2583, 90, 13"
"4721";"207, 199"
"2173";"2705, 90, 13"
"4380";"172, 175"
"639";"645, 632"
"2864";"281, 13"
"2523";"1607, 90, 13"
"4416";"280, 160, 159, 3480, 4727, 283"
"4075";"3951, 90, 13"
"989";"758, 440"
"4389";"189, 87"
"3734";"2967, 536, 13"
"648";""
"4048";"209, 210"
"307";"284"
"1877";"2479, 134, 13"
"4084";"167, 18"
"1536";"189, 87"
"4398";"3960, 281, 13"
"3743";"90, 13"
"4057";"1994, 806, 18"
"4497";"90, 13"
"4156";"4386"
"4470";"216, 217"
"3097";"529, 531, 94"
"74";""
"4129";"605, 448"
"3411";"281, 13"
"388";""
"4165";"90, 13"
"3824";"657, 664, 94"
"3483";"90, 13"
"397";"399, 396"
"3142";"4140, 281, 13"
"56";"57, 59, 54, 55, 58"
"3492";"3265, 90, 13"
"3151";"134, 13"
"4703";"558, 557, 94"
"4362";"207, 199"
"1617";"1212, 90, 13"
"1276";"167, 18"
"935";"1000, 758, 1010, 440"
"4712";"742, 732, 94"
"4371";"2062, 281, 13"
"4685";"189, 87"
"944";"1008, 952, 982"
"603";"623, 575"
"262";"257"
"4694";"172, 175"
"702";"696, 306"
"1016";"1028"
"3564";"3207, 3897, 235"
"298";"301, 302, 160, 297, 159, 303, 299, 304, 300"
"3223";"172, 175"
"4452";"189, 87"
"4111";"3964, 134, 13"
"711";""
"370";"365, 372, 357, 361, 360, 367"
"1025";"524"
"684";"683, 33, 689, 694, 556, 688"
"29";"28, 26"
"343";"340, 158"
"2550";"1340, 90, 13"
"4461";"515, 18"
"4120";"167, 18"
"379";"380, 232, 234, 233"
"3779";"558, 557, 94"
"693";"572"
"38";"36"
"352";"355, 351, 353"
"2245";"1688, 806, 18"
"1904";"1196, 90, 13"
"1563";"167, 18"
"47";"19"
"2254";"2535, 134, 13"
"1913";"209, 210"
"1572";"90, 13"
"1231";"167, 18"
"576";"554"
"1985";"90, 13"
"1330";"134, 13"
"1267";"2077, 281, 13"
"2299";"2469, 90, 13"
"926";"981, 1004, 161"
"1240";"167, 18"
"585";"589, 306, 586, 582"
"899";"695"
"244";""
"558";"557, 94"
"1339";"209, 210"
"1653";"167, 18"
"998";""
"1312";"90, 13"
"594";"306"
"3519";"2818, 90, 13"
"253";"255, 251, 252"
"226";"117, 118"
"1348";"172, 175"
"1007";""
"1662";"4440, 134, 13"
"4407";"207, 199"
"1321";"134, 13"
"666";"661, 601"
"980";"1006, 941, 766"
"2873";"134, 13"
"325";"324, 227"
"2532";"90, 13"
"361";"360, 372"
"675";""
"20";""
"334";"79"
"2882";"134, 13"
"2541";"281, 2022, 13, 4158"
"2200";"2789, 90, 13"
"1859";"90, 13"
"4066";"209, 210"
"2";"3"
"1895";"189, 87"
"2613";"167, 18"
"2209";"3022, 90, 13"
"1554";"189, 87"
"2927";"281, 13"
"1868";"134, 13"
"1213";"3212, 134, 13"
"872";"904"
"1527";"3150, 134, 13"
"1186";"3220, 90, 13"
"2308";"2302, 90, 13"
"1967";"3751, 134, 13"
"2622";"668, 665, 94"
"2281";"189, 87"
"1626";"281, 13"
"4488";"134, 13"
"1940";"2339, 18, 2420, 817"
"1222";"3409, 744"
"4147";"4287, 134, 13"
"881";"892"
"1195";"524"
"540";""
"1976";"209, 210"
"2290";"134, 13"
"1635";"216, 217"
"1949";"90, 13"
"1294";"281, 13"
"3501";"558, 557, 94"
"235";""
"1608";"172, 175"
"953";"39"
"890";"899, 695"
"549";"551"
"3815";"3977, 140"
"3160";"2853, 90, 13"
"1644";"2960, 281, 13"
"3851";"189, 87"
"1958";"515, 18"
"1303";"1351, 90, 13"
"3510";"172, 175"
"962";"508"
"621";"618"
"3169";"167, 18"
"2828";"1146, 1134, 94"
"657";"664, 94"
"971";"985, 984, 993"
"316";"238"
"3582";"90, 13"
"3896";"456, 457, 81"
"630";"626, 516"
"3178";"134, 13"
"2182";"843, 837, 94"
"2837";"90, 13"
"289";""
"2496";"90, 13"
"1841";"3161, 134, 13"
"2155";"189, 87"
"2936";"189, 87"
"2595";"134, 13"
"3250";"512, 505"
"2191";"189, 87"
"2909";"281, 2864, 3654, 13"
"2505";"3986, 90, 13"
"1850";"172, 175"
"2164";"90, 13"
"1509";"1388, 134, 13"
"1823";"134, 13"
"2945";"4072"
"2604";"658, 663, 94"
"3259";"281, 13"
"2263";"1343, 2932, 13, 281, 1923"
"2918";"209, 210"
"1922";"207, 199"
"2577";"216, 217"
"1204";"216, 217"
"863";""
"2236";"529, 531, 94"
